Job_Role,Required_Skills
AR/VR Developer,"arcore, arkit, unity, vr interaction, 3d modeling"
Cybersecurity Analyst,"ethical hacking, vulnerability assessment, siem, wireshark, firewalls, cryptography, penetration testing"
Mobile App Developer,"dart, kotlin, mobile ui, android, react native, flutter"
Android Developer,"material design, rest api, java, android studio"
Embedded Systems Engineer,"c, embedded linux, iot, c++"
Android Developer,"android studio, kotlin, java, sqlite, jetpack compose, firebase, material design"
Data Scientist,"statistics, pandas, python, deep learning"
UI/UX Designer,"responsive design, design systems, user research, prototyping"
UI/UX Designer,"wireframing, adobe xd, responsive design, prototyping, figma"
Mobile App Developer,"kotlin, firebase, swift, mobile ui, dart"
QA Engineer,"automation testing, selenium, performance testing, cypress"
Game Developer,"unreal engine, blender, 3d graphics, game physics, unity, c#, c++, multiplayer networking"
Software Tester,"api testing, automation testing, manual testing, selenium, test cases, bug tracking, jira"
AR/VR Developer,"arkit, vr interaction, unreal engine, c#, unity"
Software Tester,"jira, api testing, automation testing, manual testing"
Full Stack Developer,"docker, express, tailwind, javascript, firebase, rest api, nodejs"
Computer Vision Engineer,"yolo, opencv, python, image processing, tensorflow, object detection, cnn, deep learning"
Frontend Developer,"redux, tailwind, angular, bootstrap"
Computer Vision Engineer,"python, opencv, deep learning, tensorflow, yolo, image processing, cnn"
AR/VR Developer,"c#, unity, unreal engine, vr interaction, arkit, arcore, 3d modeling"
Frontend Developer,"figma, css, html, vue, tailwind, redux"
Full Stack Developer,"javascript, sql, nodejs, express, firebase"
Database Administrator,"sql, oracle, mysql, performance optimization, postgresql, database tuning, backup recovery"
Android Developer,"material design, rest api, java, sqlite, android studio, jetpack compose"
Business Analyst,"power bi, sql, requirement gathering, communication, jira, excel, documentation"
NLP Engineer,"huggingface, llms, bert, text classification, python"
QA Engineer,"selenium, automation testing, cypress, performance testing, postman, api testing"
Database Administrator,"database tuning, backup recovery, performance optimization, postgresql, sql"
Mobile App Developer,"dart, api integration, react native, flutter, mobile ui, kotlin, firebase"
Computer Vision Engineer,"deep learning, object detection, opencv, cnn, tensorflow"
AI Engineer,"deep learning, transformers, openai api, llms"
Cloud Architect,"terraform, azure, microservices, networking"
AR/VR Developer,"3d modeling, arcore, unreal engine, c#, arkit, unity"
Mobile App Developer,"swift, dart, kotlin, android"
Business Analyst,"excel, communication, requirement gathering, jira"
NLP Engineer,"llms, sentiment analysis, text classification, nlp, transformers, python, bert, huggingface"
iOS Developer,"swift, ios, api integration, xcode, swiftui, core data, firebase"
Business Analyst,"power bi, documentation, jira, excel, communication"
Blockchain Developer,"solidity, hardhat, web3, rust, blockchain security"
Full Stack Developer,"docker, react, express, nodejs, javascript"
UI/UX Designer,"wireframing, design systems, prototyping, user research, adobe xd, responsive design"
Backend Developer,"redis, mongodb, express, django, nodejs"
NLP Engineer,"python, text classification, sentiment analysis, huggingface, bert"
Software Tester,"test cases, bug tracking, selenium, jira, manual testing, api testing"
Data Scientist,"feature engineering, nlp, machine learning, matplotlib, tensorflow"
Computer Vision Engineer,"yolo, deep learning, cnn, image processing, opencv, python"
Business Analyst,"data analysis, power bi, excel, communication, sql, documentation, requirement gathering, jira"
Embedded Systems Engineer,"microcontrollers, embedded linux, c, iot"
Cybersecurity Analyst,"cryptography, ethical hacking, penetration testing, wireshark, incident response"
Blockchain Developer,"cryptography, hardhat, ethereum, smart contracts"
Network Engineer,"tcp/ip, network security, cisco, firewalls, switching, routing"
Software Tester,"bug tracking, automation testing, test cases, manual testing"
Network Engineer,"vpn, switching, tcp/ip, routing, linux, network security"
NLP Engineer,"transformers, python, sentiment analysis, huggingface, text classification, nlp"
Blockchain Developer,"cryptography, web3, hardhat, solidity, blockchain security, defi, smart contracts, rust"
Database Administrator,"performance optimization, database tuning, oracle, backup recovery, mysql"
Data Scientist,"tensorflow, seaborn, python, sql"
DevOps Engineer,"docker, bash, prometheus, linux, aws, kubernetes"
NLP Engineer,"python, llms, nlp, bert"
Data Analyst,"excel, power bi, dashboarding, sql, statistics, data visualization, tableau"
Game Developer,"3d graphics, multiplayer networking, blender, unreal engine, game physics, c#, c++"
UI/UX Designer,"prototyping, adobe xd, wireframing, user research"
iOS Developer,"firebase, core data, api integration, swift, swiftui"
Backend Developer,"nodejs, express, spring boot, python"
Data Analyst,"data visualization, power bi, python, dashboarding, tableau"
AR/VR Developer,"unreal engine, 3d modeling, vr interaction, arcore, arkit, unity"
Data Analyst,"sql, tableau, data visualization, statistics"
QA Engineer,"automation testing, api testing, postman, selenium"
Android Developer,"java, sqlite, rest api, jetpack compose"
NLP Engineer,"python, nlp, huggingface, bert, transformers, text classification, sentiment analysis"
Blockchain Developer,"ethereum, polygon, rust, solidity, hardhat, web3, blockchain security"
AI Engineer,"python, rag, deep learning, tensorflow, langchain, llms"
AR/VR Developer,"unity, arcore, 3d modeling, vr interaction, unreal engine, arkit"
Business Analyst,"jira, excel, data analysis, power bi, requirement gathering"
Android Developer,"rest api, kotlin, sqlite, android studio"
Frontend Developer,"bootstrap, redux, react, html, responsive design"
Network Engineer,"network security, tcp/ip, firewalls, routing, cisco, vpn, linux, switching"
Backend Developer,"nodejs, rest api, java, mongodb, django, postgresql"
Machine Learning Engineer,"flask, computer vision, kubernetes, python"
Data Scientist,"deep learning, tensorflow, pandas, seaborn"
AR/VR Developer,"c#, arkit, 3d modeling, arcore"
Site Reliability Engineer,"aws, docker, linux, monitoring, terraform, prometheus, kubernetes, incident management"
Cloud Architect,"cloud security, terraform, kubernetes, docker, networking, ci/cd, gcp"
AR/VR Developer,"3d modeling, arkit, unreal engine, c#, arcore, unity, vr interaction"
Embedded Systems Engineer,"embedded linux, raspberry pi, c, arduino, iot"
NLP Engineer,"python, bert, sentiment analysis, huggingface, llms, transformers, text classification"
iOS Developer,"swift, core data, api integration, ios"
Database Administrator,"sql, postgresql, database tuning, oracle, mysql, backup recovery, performance optimization"
Business Analyst,"excel, requirement gathering, jira, documentation, sql, communication, data analysis"
Android Developer,"jetpack compose, material design, firebase, kotlin, rest api, android studio, java, sqlite"
QA Engineer,"cypress, selenium, automation testing, postman, api testing"
Machine Learning Engineer,"tensorflow, docker, fastapi, kubernetes, computer vision"
Site Reliability Engineer,"prometheus, incident management, kubernetes, aws"
Game Developer,"c++, 3d graphics, unity, multiplayer networking, blender, c#"
Embedded Systems Engineer,"embedded linux, iot, c++, microcontrollers, raspberry pi, arduino"
UI/UX Designer,"adobe xd, prototyping, figma, wireframing"
Network Engineer,"firewalls, vpn, tcp/ip, switching"
Data Analyst,"python, dashboarding, tableau, pandas, statistics"
Computer Vision Engineer,"yolo, tensorflow, image processing, deep learning, opencv, cnn, python, object detection"
QA Engineer,"cypress, api testing, automation testing, performance testing"
Network Engineer,"cisco, tcp/ip, linux, switching, firewalls"
Data Analyst,"statistics, power bi, python, pandas, sql"
Mobile App Developer,"swift, flutter, firebase, api integration, react native, android, ios"
Database Administrator,"sql, performance optimization, postgresql, backup recovery, oracle, mysql"
Data Analyst,"dashboarding, statistics, sql, tableau, excel"
Game Developer,"game physics, blender, c++, c#, 3d graphics"
Android Developer,"firebase, rest api, android studio, java"
Frontend Developer,"bootstrap, vue, figma, css, nextjs"
Data Analyst,"data visualization, statistics, python, excel, dashboarding, tableau"
Computer Vision Engineer,"tensorflow, python, deep learning, cnn, opencv, object detection, yolo, image processing"
Game Developer,"game physics, unity, c++, 3d graphics, multiplayer networking, unreal engine"
Data Analyst,"data visualization, python, statistics, excel, dashboarding, power bi"
Computer Vision Engineer,"opencv, cnn, tensorflow, python, image processing, deep learning"
AI Engineer,"rag, langchain, prompt engineering, deep learning, python"
Network Engineer,"cisco, vpn, tcp/ip, linux, network security, firewalls"
Site Reliability Engineer,"monitoring, incident management, docker, aws, terraform, kubernetes"
Cloud Architect,"cloud security, terraform, aws, linux, microservices, gcp, azure"
Software Tester,"api testing, bug tracking, manual testing, test cases"
Game Developer,"3d graphics, multiplayer networking, c#, unity"
Backend Developer,"flask, postgresql, mongodb, express, redis, nodejs, spring boot, rest api"
Mobile App Developer,"mobile ui, swift, ios, flutter, dart, react native"
Full Stack Developer,"nodejs, docker, javascript, django, tailwind, mongodb"
UI/UX Designer,"design systems, figma, prototyping, user research"
Mobile App Developer,"react native, dart, android, api integration, swift, flutter"
Software Tester,"automation testing, selenium, manual testing, jira, test cases"
Database Administrator,"backup recovery, database tuning, oracle, mysql, performance optimization"
NLP Engineer,"bert, transformers, llms, sentiment analysis, huggingface, nlp"
Cybersecurity Analyst,"cryptography, soc, network security, penetration testing"
Cloud Architect,"aws, kubernetes, microservices, ci/cd, azure"
Network Engineer,"cisco, network security, vpn, tcp/ip"
Business Analyst,"communication, requirement gathering, excel, data analysis, jira, power bi, documentation, sql"
Machine Learning Engineer,"computer vision, kubernetes, deep learning, docker"
QA Engineer,"automation testing, cypress, performance testing, api testing, selenium"
iOS Developer,"core data, ios, swift, api integration, swiftui"
Network Engineer,"vpn, firewalls, network security, routing, tcp/ip"
